client_id,went_back,variation
10434,1,Unknown
10552,2,Unknown
10825,3,Unknown
11040,3,Test
11054,3,Control
11070,6,Control
11122,3,Control
11309,3,Test
11368,3,Unknown
11443,5,Unknown
11726,3,Unknown
11855,5,Unknown
11880,4,Test
11922,4,Unknown
12045,2,Control
12062,0,Unknown
12115,1,Unknown
12627,3,Unknown
12785,3,Test
13009,5,Control
13183,3,Unknown
13318,1,Unknown
13340,4,Unknown
13413,5,Unknown
13673,3,Unknown
13705,1,Unknown
13735,3,Test
13756,0,Unknown
13763,1,Unknown
13831,3,Control
13850,3,Unknown
13853,3,Unknown
13931,3,Unknown
14069,0,Unknown
14209,3,Unknown
14255,1,Unknown
14307,6,Unknown
14366,3,Unknown
14367,3,Unknown
14630,7,Unknown
14638,3,Unknown
14664,0,Unknown
14690,1,Test
14716,7,Unknown
14775,0,Control
15050,5,Test
15189,3,Test
15246,2,Unknown
15352,6,Unknown
15398,3,Unknown
15543,3,Unknown
15644,3,Unknown
15650,3,Unknown
15688,6,Unknown
15708,3,Unknown
15753,5,Test
15757,0,Unknown
15807,3,Test
15819,3,Unknown
15961,1,Unknown
16095,3,Control
16098,3,Test
16135,7,Control
16202,1,Control
16243,3,Unknown
16291,6,Unknown
16295,5,Test
16549,6,Control
16679,2,Control
16744,0,Control
16747,3,Control
16855,4,Unknown
16881,0,Test
17008,3,Control
17036,3,Control
17160,5,Control
17170,3,Test
17303,3,Unknown
17318,3,Test
17366,2,Unknown
17404,3,Test
17455,3,Unknown
17818,3,Unknown
18147,3,Unknown
18235,0,Unknown
18316,6,Unknown
18449,0,Unknown
18524,3,Unknown
18549,3,Test
18654,3,Unknown
18660,1,Control
18720,6,Unknown
18844,3,Unknown
18917,0,Unknown
18973,3,Control
18974,3,Unknown
19039,0,Unknown
19060,3,Test
19225,0,Unknown
19245,3,Unknown
19259,3,Unknown
19263,3,Unknown
19330,3,Unknown
19394,3,Unknown
19435,3,Unknown
19573,4,Unknown
19613,0,Control
19663,5,Unknown
19782,3,Control
19813,3,Control
19832,3,Control
20006,3,Unknown
20091,4,Control
20108,0,Unknown
20121,3,Unknown
20185,19,Test
20389,3,Unknown
20537,3,Control
20564,7,Test
20643,3,Test
20668,1,Test
20730,4,Unknown
20898,0,Control
21011,4,Unknown
21098,0,Unknown
21200,3,Test
21242,3,Control
21273,1,Unknown
21280,0,Unknown
21281,6,Test
21353,7,Control
21403,0,Test
21498,6,Control
21522,7,Test
21596,4,Test
21600,2,Unknown
21663,3,Unknown
21719,3,Control
21940,5,Control
21970,6,Control
22007,3,Test
22194,4,Unknown
22585,3,Unknown
22676,1,Unknown
22714,3,Unknown
22793,2,Test
22856,4,Unknown
22883,3,Unknown
22885,15,Control
23169,3,Unknown
23175,4,Unknown
23181,7,Unknown
23261,4,Unknown
23276,3,Control
23308,2,Unknown
23400,3,Unknown
23464,7,Unknown
23538,3,Unknown
23620,3,Unknown
23690,3,Unknown
23834,1,Unknown
23864,3,Control
23890,3,Unknown
23914,3,Test
24002,2,Unknown
24006,5,Unknown
24013,3,Unknown
24079,0,Control
24360,0,Unknown
24443,13,Test
24491,3,Unknown
24572,4,Test
24586,3,Unknown
24673,0,Unknown
24703,3,Test
24710,3,Control
24795,4,Unknown
24841,4,Test
24848,11,Unknown
24871,3,Unknown
25010,7,Unknown
25022,3,Test
25026,3,Test
25043,3,Control
25378,5,Unknown
25409,0,Unknown
25424,3,Unknown
25560,4,Unknown
25664,0,Unknown
25667,3,Unknown
25702,16,Unknown
25766,5,Control
26002,3,Unknown
26036,3,Test
26070,3,Test
26105,3,Test
26122,3,Unknown
26196,0,Unknown
26211,3,Control
26286,1,Control
26451,3,Unknown
26696,0,Test
26747,3,Unknown
26763,3,Unknown
26825,4,Unknown
26938,3,Unknown
27021,6,Control
27075,3,Test
27142,2,Unknown
27241,6,Control
27270,10,Unknown
27554,3,Control
27605,3,Unknown
27764,4,Test
27907,3,Test
27943,3,Unknown
27988,5,Control
28076,0,Unknown
28241,3,Test
28277,4,Unknown
28371,5,Test
28442,3,Unknown
28515,17,Unknown
28542,3,Control
28696,3,Unknown
28705,6,Control
28710,3,Unknown
28731,3,Unknown
28845,3,Control
28857,11,Control
28911,1,Unknown
28978,10,Unknown
29079,4,Unknown
29227,3,Test
29267,8,Unknown
29304,3,Unknown
29344,8,Unknown
29372,6,Unknown
29399,3,Unknown
29527,3,Test
29595,3,Control
29712,0,Unknown
29716,3,Unknown
29772,3,Unknown
29857,3,Unknown
29861,3,Unknown
30096,1,Unknown
30172,1,Unknown
30181,2,Unknown
30199,3,Unknown
30318,7,Test
30323,1,Unknown
30360,3,Unknown
30462,0,Test
30493,4,Test
30592,1,Unknown
30630,4,Unknown
30666,7,Unknown
31166,0,Unknown
31191,0,Control
31264,5,Control
31336,11,Test
31404,3,Test
31499,4,Test
31502,6,Control
31597,7,Test
31669,2,Unknown
31715,3,Control
31766,4,Test
32084,3,Unknown
32101,3,Unknown
32197,3,Control
32290,1,Unknown
32305,1,Control
32355,0,Unknown
32386,7,Unknown
32429,3,Unknown
32443,3,Unknown
32471,6,Test
32521,3,Test
32681,3,Unknown
32746,5,Test
32859,3,Control
33007,3,Unknown
33186,8,Unknown
33190,3,Control
33265,3,Test
33361,2,Unknown
33463,9,Control
33472,3,Test
33680,3,Unknown
33752,3,Test
33837,3,Unknown
33903,3,Unknown
33955,3,Unknown
34067,4,Control
34101,0,Test
34243,4,Unknown
34267,3,Control
34437,6,Unknown
34467,0,Unknown
34491,3,Unknown
34501,4,Control
34603,3,Control
34608,1,Test
34631,4,Control
34679,2,Unknown
34931,5,Unknown
35010,3,Test
35087,4,Control
35091,1,Test
35138,3,Test
35163,4,Unknown
35181,4,Test
35257,3,Control
35344,3,Unknown
35346,3,Control
35417,3,Control
35476,4,Test
35634,0,Unknown
35883,3,Unknown
35922,3,Test
36077,3,Unknown
36109,4,Control
36223,2,Unknown
36308,3,Unknown
36342,3,Test
36362,12,Unknown
36363,3,Test
36430,5,Test
36432,3,Test
36555,3,Test
36986,9,Test
37046,3,Unknown
37064,7,Control
37073,3,Unknown
37145,3,Unknown
37237,3,Unknown
37295,5,Control
37307,3,Unknown
37363,0,Unknown
37408,3,Control
37423,6,Test
37496,5,Unknown
37524,4,Unknown
37616,0,Unknown
37667,3,Test
37691,1,Test
37705,3,Test
37872,4,Unknown
37897,3,Test
37961,3,Unknown
37988,3,Unknown
38226,3,Unknown
38275,0,Test
38283,4,Test
38340,3,Test
38375,3,Unknown
38384,3,Unknown
38409,7,Unknown
38478,2,Unknown
38551,3,Test
38595,6,Unknown
38685,3,Control
38714,3,Control
38775,0,Test
38842,0,Unknown
38854,2,Unknown
38930,6,Control
38963,3,Control
38971,4,Unknown
39004,0,Test
39041,3,Unknown
39043,2,Unknown
39075,3,Control
39393,3,Unknown
39562,3,Unknown
39566,3,Test
39569,3,Unknown
39594,9,Unknown
39626,3,Unknown
39809,5,Unknown
39968,0,Control
40140,3,Unknown
40166,3,Unknown
40283,0,Test
40316,0,Unknown
40439,3,Test
40482,0,Unknown
40594,5,Unknown
40851,7,Unknown
40969,1,Test
41057,3,Unknown
41122,3,Test
41127,3,Unknown
41142,4,Test
41199,3,Test
41237,3,Test
41287,0,Unknown
41325,3,Unknown
41516,3,Control
41554,1,Unknown
41652,1,Control
41795,3,Unknown
41838,3,Unknown
41924,2,Test
42082,3,Control
42108,9,Unknown
42219,3,Unknown
42235,3,Unknown
42296,1,Control
42349,3,Test
42725,3,Test
42824,3,Unknown
42876,8,Unknown
43137,3,Unknown
43232,8,Unknown
43265,28,Unknown
43280,3,Unknown
43494,2,Control
43645,3,Test
43766,1,Control
43828,0,Unknown
44022,3,Unknown
44060,6,Control
44216,3,Control
44293,3,Unknown
44417,0,Unknown
44437,3,Unknown
44520,3,Unknown
44564,3,Unknown
44652,3,Unknown
44705,4,Test
44857,4,Unknown
44860,3,Control
44932,3,Test
44995,1,Test
45131,6,Test
45207,3,Unknown
45232,3,Test
45252,3,Unknown
45485,5,Test
45510,6,Test
45539,3,Unknown
45689,3,Unknown
45866,4,Unknown
45939,3,Unknown
46162,6,Unknown
46223,3,Control
46298,3,Unknown
46395,4,Unknown
46437,3,Unknown
46547,7,Unknown
46653,3,Unknown
46759,3,Unknown
46766,3,Unknown
46790,2,Test
46845,3,Unknown
46934,0,Test
47291,3,Unknown
47402,2,Control
47419,6,Unknown
47571,3,Control
47860,3,Test
47933,4,Control
47934,3,Unknown
48090,4,Unknown
48144,0,Unknown
48241,9,Control
48372,4,Unknown
48424,7,Control
48431,3,Control
48448,3,Test
48473,9,Unknown
48493,3,Unknown
48563,3,Unknown
48724,6,Test
48787,3,Unknown
48832,3,Unknown
48833,4,Unknown
48848,3,Unknown
49004,2,Unknown
49039,3,Unknown
49270,3,Unknown
49412,7,Control
49450,6,Control
49451,3,Unknown
49709,9,Test
49807,3,Unknown
49952,4,Unknown
49957,3,Unknown
49998,1,Test
49999,8,Unknown
50024,3,Unknown
50031,4,Unknown
50053,3,Test
50090,3,Test
50144,3,Unknown
50185,3,Control
50271,3,Control
50325,3,Test
50445,3,Unknown
50521,3,Unknown
50599,0,Test
50643,3,Control
50692,0,Control
51417,7,Unknown
51444,1,Unknown
51464,0,Unknown
51493,3,Test
51503,6,Unknown
51526,4,Test
51651,1,Unknown
51668,3,Unknown
51706,3,Control
51814,3,Control
51902,3,Control
51917,3,Unknown
52111,8,Control
52160,3,Unknown
52233,2,Unknown
52309,5,Test
52384,0,Control
52396,3,Unknown
52456,4,Control
52461,3,Control
52515,0,Unknown
52516,3,Unknown
52743,8,Test
52765,3,Control
52897,3,Unknown
52901,2,Unknown
52952,5,Unknown
53094,3,Control
53123,3,Control
53126,3,Control
53169,0,Control
53217,2,Unknown
53276,3,Unknown
53365,0,Unknown
53396,3,Test
53425,3,Unknown
53456,3,Unknown
53721,3,Unknown
53844,0,Unknown
53975,3,Unknown
53990,3,Control
54231,3,Test
54257,0,Unknown
54291,3,Control
54318,3,Unknown
54363,3,Control
54454,0,Unknown
54476,2,Unknown
54477,0,Control
54500,2,Unknown
54715,2,Unknown
54893,3,Test
55059,3,Test
55113,3,Unknown
55265,6,Test
55333,3,Test
55415,3,Unknown
55448,4,Control
55497,3,Unknown
55512,6,Unknown
55519,3,Unknown
55626,3,Unknown
55705,2,Unknown
55951,0,Test
56033,3,Unknown
56294,4,Test
56408,7,Unknown
56417,6,Unknown
56529,3,Control
56570,4,Test
56686,3,Unknown
56782,2,Control
56799,1,Unknown
56923,5,Test
57152,0,Unknown
57223,11,Unknown
57366,3,Unknown
57378,3,Unknown
57486,4,Unknown
57733,5,Unknown
57744,3,Unknown
57753,3,Unknown
58001,4,Control
58194,6,Test
58196,7,Control
58456,5,Control
58475,5,Unknown
58561,3,Unknown
58589,9,Control
58676,3,Control
58802,0,Unknown
58867,3,Test
58917,4,Control
58962,3,Test
58975,4,Unknown
59089,3,Control
59152,3,Test
59279,0,Unknown
59326,3,Unknown
59338,6,Unknown
59360,3,Test
59605,1,Control
59609,0,Unknown
59736,1,Unknown
59782,4,Control
59802,6,Test
59860,6,Control
59889,2,Unknown
59931,5,Unknown
59988,3,Unknown
60101,3,Test
60119,3,Unknown
60319,3,Unknown
60327,4,Unknown
60435,0,Unknown
60483,3,Test
60490,3,Unknown
60529,1,Unknown
60547,3,Unknown
60802,5,Test
60958,0,Test
61007,0,Test
61487,3,Test
61596,3,Unknown
61650,3,Test
61699,3,Unknown
61794,3,Unknown
61810,0,Unknown
61961,5,Test
62005,5,Unknown
62058,0,Control
62097,4,Unknown
62099,3,Unknown
62157,1,Unknown
62284,3,Test
62290,0,Unknown
62498,0,Control
62503,3,Control
62544,4,Unknown
62754,3,Test
62791,3,Test
62805,3,Test
62837,1,Control
63001,2,Control
63114,3,Unknown
63130,0,Unknown
63367,3,Unknown
63369,0,Unknown
63377,3,Control
63467,3,Unknown
63507,3,Test
63715,3,Unknown
63796,4,Test
63812,2,Unknown
63837,4,Unknown
63879,3,Test
63955,3,Test
64020,5,Control
64058,3,Test
64420,3,Unknown
64502,0,Unknown
64635,0,Test
64871,3,Control
64877,7,Unknown
64885,1,Test
64964,4,Control
65071,3,Unknown
65117,3,Unknown
65127,0,Unknown
65146,3,Unknown
65206,3,Unknown
65221,3,Test
65315,0,Unknown
65388,3,Unknown
65569,4,Unknown
65700,3,Unknown
65716,7,Control
65768,0,Unknown
65845,3,Control
65899,3,Unknown
65927,2,Unknown
66071,3,Unknown
66160,3,Test
66169,6,Control
66229,2,Unknown
66417,3,Unknown
66539,3,Test
66543,0,Control
66590,4,Unknown
66653,0,Unknown
66727,3,Unknown
66930,7,Test
67037,3,Unknown
67159,5,Unknown
67215,3,Unknown
67221,3,Unknown
67390,4,Test
67452,3,Test
67714,0,Unknown
67837,0,Unknown
67845,2,Test
67870,3,Unknown
67882,4,Unknown
67899,2,Unknown
67925,3,Test
68116,0,Control
68170,0,Control
68211,3,Unknown
68276,3,Test
68455,3,Unknown
68498,2,Unknown
68506,3,Unknown
68830,4,Control
68854,3,Control
68884,6,Test
68886,3,Test
68963,7,Control
69146,0,Unknown
69201,6,Unknown
69255,1,Control
69439,4,Unknown
69464,0,Unknown
69568,3,Test
69586,3,Unknown
69591,0,Test
69598,3,Control
69603,3,Unknown
70127,3,Unknown
70223,0,Unknown
70225,4,Control
70324,0,Unknown
70493,3,Unknown
70576,9,Test
70685,1,Unknown
70856,3,Unknown
70863,0,Test
71036,3,Unknown
71159,0,Test
71228,3,Unknown
71296,4,Control
71297,3,Unknown
71340,3,Unknown
71476,0,Control
71626,4,Control
71754,3,Unknown
71996,3,Unknown
72074,7,Test
72221,9,Control
72237,3,Unknown
72291,2,Unknown
72360,3,Unknown
72388,3,Test
72395,4,Test
72614,2,Unknown
72623,6,Unknown
72671,3,Unknown
72710,2,Unknown
72909,7,Unknown
72915,3,Test
72916,3,Test
72951,3,Unknown
72956,3,Unknown
72988,0,Test
72994,5,Unknown
73135,3,Unknown
73293,1,Unknown
73331,3,Control
73335,3,Control
73349,2,Unknown
73453,3,Control
73496,0,Unknown
73578,4,Unknown
73615,3,Test
73624,3,Unknown
73648,3,Test
73649,5,Unknown
73690,6,Unknown
73910,3,Control
74108,1,Unknown
74113,5,Unknown
74169,4,Control
74232,3,Unknown
74411,0,Unknown
74413,3,Unknown
74517,3,Unknown
74552,3,Unknown
74564,3,Test
74844,3,Test
74972,3,Unknown
74976,4,Test
75033,3,Test
75071,3,Unknown
75209,3,Unknown
75235,5,Unknown
75337,4,Unknown
75381,1,Control
75413,6,Unknown
75490,3,Test
75642,3,Control
75865,3,Unknown
76222,3,Unknown
76268,5,Unknown
76424,3,Control
76429,4,Test
76454,3,Unknown
76481,9,Test
76574,5,Unknown
76631,3,Unknown
76635,6,Test
76775,1,Test
76776,7,Control
76970,3,Unknown
77071,5,Control
77159,3,Unknown
77276,3,Test
77286,3,Unknown
77292,2,Unknown
77363,3,Unknown
77391,0,Unknown
77424,0,Unknown
77513,4,Test
77642,4,Unknown
77651,0,Test
77706,2,Unknown
77933,3,Test
78215,3,Unknown
78281,3,Unknown
78359,1,Unknown
78370,3,Unknown
78424,4,Unknown
78720,0,Test
78728,3,Control
78779,0,Test
78908,3,Unknown
78917,2,Control
79002,3,Unknown
79077,3,Unknown
79127,5,Control
79207,1,Unknown
79229,2,Control
79452,3,Test
79471,3,Unknown
79547,5,Unknown
79571,3,Control
79623,3,Unknown
79669,2,Test
79679,3,Control
79716,3,Unknown
79819,0,Control
79884,6,Unknown
79897,4,Test
80006,6,Test
80117,5,Unknown
80126,3,Test
80127,5,Control
80241,1,Control
80275,6,Test
80442,8,Unknown
80479,5,Test
80559,3,Control
80726,4,Unknown
80801,9,Test
80915,3,Control
80920,2,Unknown
80969,1,Unknown
81096,3,Unknown
81098,3,Unknown
81102,3,Control
81119,2,Test
81146,0,Unknown
81303,3,Test
81430,3,Unknown
81442,4,Unknown
81601,3,Control
81672,1,Unknown
81720,3,Test
81816,2,Control
81963,3,Unknown
81976,3,Control
82206,3,Test
82376,3,Control
82557,1,Unknown
82560,0,Test
82566,3,Control
82676,0,Unknown
82712,7,Control
82723,3,Control
82734,3,Unknown
82746,1,Unknown
82757,3,Unknown
82772,3,Test
82869,3,Control
82880,6,Unknown
82901,0,Unknown
83002,0,Unknown
83066,3,Unknown
83158,3,Control
83363,3,Unknown
83447,10,Control
83480,3,Unknown
83489,3,Unknown
83503,0,Unknown
83507,3,Test
83585,3,Test
83614,3,Unknown
83683,0,Control
83693,5,Unknown
83778,5,Unknown
83795,10,Test
83828,4,Unknown
83889,3,Unknown
83892,3,Unknown
83999,3,Unknown
84067,3,Unknown
84092,3,Unknown
84108,3,Control
84199,3,Unknown
84226,3,Unknown
84464,3,Test
84480,4,Control
84482,3,Unknown
84498,0,Unknown
84544,0,Unknown
84596,0,Test
84624,3,Control
84658,5,Test
84693,3,Unknown
84702,2,Unknown
84730,0,Unknown
84856,3,Unknown
84971,1,Unknown
84976,3,Test
85000,4,Unknown
85097,1,Control
85105,3,Unknown
85117,6,Unknown
85147,3,Unknown
85261,3,Unknown
85271,0,Unknown
85286,2,Control
85304,1,Unknown
85515,9,Control
85633,3,Unknown
85713,3,Unknown
85765,3,Unknown
85793,7,Control
85798,5,Unknown
85834,5,Unknown
85917,3,Unknown
86035,3,Test
86097,5,Unknown
86392,3,Unknown
86499,3,Control
86546,3,Unknown
86616,5,Control
86699,3,Control
86780,2,Test
86877,4,Test
86949,3,Unknown
87162,3,Control
87218,4,Control
87300,3,Control
87315,6,Unknown
87317,5,Unknown
87424,3,Test
87449,3,Test
87790,4,Unknown
87915,2,Test
88378,1,Control
88624,3,Unknown
88663,5,Unknown
88709,0,Unknown
88722,3,Unknown
88723,3,Control
88759,3,Control
88880,3,Unknown
88986,1,Test
89039,3,Test
89052,3,Control
89108,2,Control
89116,3,Control
89257,0,Test
89403,3,Unknown
89441,0,Unknown
89533,5,Unknown
89604,3,Test
89645,3,Control
89652,0,Unknown
89693,3,Test
89792,0,Unknown
89812,0,Test
89871,9,Unknown
89953,3,Unknown
89959,13,Test
89974,3,Unknown
89981,3,Unknown
90072,5,Unknown
90324,3,Test
90337,3,Unknown
90348,5,Unknown
90360,3,Test
90383,0,Test
90539,2,Unknown
90596,6,Control
90729,3,Unknown
90766,13,Unknown
90872,7,Unknown
91031,3,Unknown
91110,8,Test
91131,3,Unknown
91138,0,Unknown
91190,4,Unknown
91254,3,Test
91443,4,Test
91462,3,Unknown
91551,4,Unknown
91633,4,Test
92017,1,Unknown
92066,4,Test
92119,8,Unknown
92137,3,Test
92332,0,Unknown
92665,3,Test
92739,6,Unknown
92808,4,Control
92864,1,Test
93127,4,Control
93137,3,Test
93195,3,Unknown
93265,0,Unknown
93370,0,Test
93476,3,Unknown
93480,3,Test
93571,3,Unknown
93610,4,Test
93651,3,Unknown
93751,5,Test
93870,6,Test
93873,2,Unknown
93915,11,Test
94012,0,Control
94044,3,Unknown
94234,3,Test
94259,3,Unknown
94338,14,Unknown
94429,0,Unknown
94510,3,Control
94536,3,Unknown
94552,9,Test
94607,3,Unknown
94662,5,Test
94725,3,Unknown
94767,3,Test
94778,3,Control
94793,3,Unknown
94914,0,Test
95009,9,Unknown
95035,3,Test
95199,3,Test
95310,3,Unknown
95453,6,Test
95744,3,Unknown
95790,6,Unknown
95892,3,Unknown
96190,3,Test
96222,3,Unknown
96433,3,Unknown
96454,5,Unknown
96548,2,Control
96617,6,Unknown
96629,0,Unknown
96688,3,Unknown
96689,3,Unknown
96787,4,Test
96845,1,Control
97147,3,Test
97170,1,Control
97244,3,Unknown
97251,13,Unknown
97322,0,Control
97368,3,Unknown
97374,3,Unknown
97424,3,Test
97590,3,Test
97723,3,Control
97898,3,Unknown
97966,8,Control
98040,3,Unknown
98088,3,Unknown
98248,2,Test
98337,3,Test
98608,6,Unknown
98807,3,Unknown
98860,3,Control
98968,3,Unknown
99149,6,Control
99208,3,Test
99382,3,Unknown
99418,5,Unknown
99714,3,Unknown
99811,3,Control
99985,3,Unknown
100070,5,Unknown
100118,0,Test
100250,3,Test
100455,1,Unknown
100469,3,Unknown
100503,3,Control
100888,3,Control
100940,5,Test
100980,3,Unknown
101143,0,Control
101180,4,Unknown
101220,0,Test
101234,0,Unknown
101246,0,Control
101345,3,Unknown
101432,3,Unknown
101573,3,Unknown
101599,0,Unknown
101818,3,Control
101864,3,Unknown
102213,3,Unknown
102392,3,Unknown
102777,3,Unknown
102834,4,Unknown
102859,0,Control
102884,2,Test
103015,0,Unknown
103515,3,Control
103610,5,Unknown
103622,4,Test
103627,3,Test
103669,3,Test
103893,3,Unknown
104190,3,Test
104234,3,Unknown
104328,10,Control
104557,3,Unknown
104643,0,Test
104781,5,Control
104800,4,Unknown
104880,3,Unknown
104884,5,Control
104972,3,Test
105007,0,Control
105008,0,Unknown
105017,4,Unknown
105026,3,Control
105357,3,Control
105360,7,Control
105583,3,Unknown
105616,6,Unknown
105623,3,Control
105858,3,Unknown
105905,0,Unknown
106102,0,Test
106137,1,Test
106157,3,Unknown
106457,2,Control
106501,3,Test
106533,8,Unknown
106540,3,Unknown
106690,3,Unknown
106732,3,Unknown
106870,3,Unknown
107015,0,Unknown
107052,3,Unknown
107112,3,Unknown
107272,3,Unknown
107585,0,Unknown
107685,3,Unknown
108335,3,Control
108349,0,Unknown
108419,3,Test
108438,6,Control
108846,3,Unknown
108877,0,Unknown
108892,3,Test
109000,4,Unknown
109079,3,Unknown
109175,6,Control
109413,1,Control
109465,3,Control
109510,6,Unknown
109614,4,Unknown
109662,5,Test
109680,3,Unknown
109717,3,Unknown
109733,3,Unknown
109859,3,Control
109864,3,Unknown
109932,6,Control
109938,4,Unknown
109961,3,Unknown
109988,0,Unknown
109989,3,Unknown
110028,3,Test
110176,0,Unknown
110198,7,Unknown
110212,4,Test
110249,2,Unknown
110257,3,Unknown
110288,0,Test
110772,7,Test
110890,1,Control
111012,5,Control
111096,3,Unknown
111157,3,Unknown
111162,2,Test
111181,3,Unknown
111279,3,Unknown
111304,3,Control
111417,3,Unknown
111477,1,Control
111553,7,Unknown
111617,1,Unknown
111656,3,Unknown
111699,9,Unknown
111711,0,Unknown
111791,1,Unknown
111996,3,Unknown
112128,3,Control
112214,7,Unknown
112222,5,Unknown
112255,5,Unknown
112267,0,Unknown
112367,4,Unknown
112436,3,Unknown
112549,8,Unknown
112671,7,Unknown
112766,9,Test
112797,3,Unknown
113022,4,Unknown
113188,6,Unknown
113394,3,Unknown
113597,2,Test
113703,3,Unknown
113852,3,Test
113903,1,Test
113951,3,Test
113964,0,Test
114218,3,Unknown
114278,0,Unknown
114285,3,Unknown
114302,3,Unknown
114459,5,Control
114541,6,Control
114542,3,Test
114566,3,Control
114780,0,Control
114950,3,Unknown
115021,4,Unknown
115059,3,Unknown
115163,3,Test
115354,6,Unknown
115355,0,Unknown
115441,3,Unknown
115570,3,Test
115597,1,Control
115688,0,Unknown
115750,3,Unknown
115787,3,Unknown
115793,4,Unknown
115834,3,Control
115839,0,Test
115973,3,Control
116028,3,Unknown
116149,3,Unknown
116248,1,Test
116345,3,Control
116384,3,Test
116492,0,Unknown
116505,0,Control
116655,3,Unknown
116672,4,Unknown
116682,0,Control
116693,3,Control
116735,1,Unknown
116825,4,Unknown
117020,3,Unknown
117032,8,Test
117115,4,Unknown
117118,0,Unknown
117202,3,Unknown
117276,3,Test
117320,0,Control
117457,3,Test
117520,3,Test
117539,3,Unknown
117566,0,Unknown
117567,3,Unknown
117592,3,Unknown
117603,3,Unknown
117621,3,Control
117738,0,Unknown
117759,1,Unknown
117778,10,Unknown
117883,0,Control
117889,2,Unknown
117916,3,Test
117979,3,Control
118349,3,Unknown
118358,3,Control
118415,3,Control
118446,10,Test
118539,3,Unknown
118576,2,Test
118723,4,Control
118964,8,Control
118966,4,Test
119006,13,Test
119089,8,Unknown
119208,3,Unknown
119423,6,Unknown
119488,5,Unknown
119599,2,Test
119634,7,Test
119833,3,Unknown
120049,3,Unknown
120089,6,Test
120168,3,Unknown
120256,3,Unknown
120309,3,Control
120351,3,Test
120658,1,Unknown
120660,3,Test
120699,0,Unknown
120830,3,Test
120872,7,Control
120956,3,Unknown
120975,1,Unknown
121029,3,Test
121238,3,Test
121354,3,Test
121536,4,Test
121672,4,Test
121710,6,Unknown
121913,5,Unknown
121983,3,Unknown
122093,3,Test
122385,3,Unknown
122493,4,Control
122526,4,Test
122582,3,Unknown
122646,9,Unknown
122790,3,Test
122949,3,Unknown
123015,0,Unknown
123141,3,Control
123189,3,Unknown
123311,4,Test
123512,3,Unknown
123552,2,Control
123593,4,Unknown
123644,5,Unknown
123701,3,Unknown
123764,0,Unknown
123794,6,Unknown
123843,3,Unknown
123853,0,Test
123924,4,Unknown
124071,3,Unknown
124118,3,Control
124251,2,Unknown
124572,3,Control
124614,3,Test
124624,3,Control
124646,1,Test
124731,5,Unknown
124872,3,Unknown
124916,4,Control
125022,3,Control
125117,3,Unknown
125124,3,Test
125139,0,Unknown
125222,5,Unknown
125273,0,Control
125305,3,Control
125679,11,Control
125696,3,Unknown
125724,6,Unknown
125734,3,Unknown
125750,2,Test
126054,4,Unknown
126090,3,Control
126171,3,Control
126222,3,Unknown
126259,3,Test
126285,6,Control
126287,3,Unknown
126288,3,Test
126309,3,Control
126524,3,Test
